Name,Material,Work Function,Voltage,Frequency,Wavelength,Colour RGB,Colour Hex,Spectrum range
"Cu,0.0312",Cu,4.53,0.0312,1.1029,2.7182054248807232e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.0317",Cu,4.53,0.0317,1.103,2.7179454831934525e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.0321",Cu,4.53,0.0321,1.1031,2.7176819636127872e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.0326",Cu,4.53,0.0326,1.1032,2.7174148176050006e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.033",Cu,4.53,0.033,1.1033,2.7171439959979146e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.0335",Cu,4.53,0.0335,1.1034,2.7168694489730573e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.034",Cu,4.53,0.034,1.1036,2.7165911260577398e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.0344",Cu,4.53,0.0344,1.1037,2.716308976117056e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.0349",Cu,4.53,0.0349,1.1038,2.7160229473457968e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.0354",Cu,4.53,0.0354,1.1039,2.7157329872602867e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.0359",Cu,4.53,0.0359,1.104,2.7154390426901347e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.0364",Cu,4.53,0.0364,1.1042,2.7151410597699075e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.0369",Cu,4.53,0.0369,1.1043,2.7148389839307165e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.0374",Cu,4.53,0.0374,1.1044,2.7145327598917245e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.0379",Cu,4.53,0.0379,1.1045,2.7142223316515677e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.0385",Cu,4.53,0.0385,1.1047,2.713907642479698e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.039",Cu,4.53,0.039,1.1048,2.713588634907637e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.0396",Cu,4.53,0.0396,1.1049,2.7132652507201523e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.0401",Cu,4.53,0.0401,1.105,2.7129374309463424e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.0407",Cu,4.53,0.0407,1.1052,2.71260511585065e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.0412",Cu,4.53,0.0412,1.1053,2.712268244923779e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.0418",Cu,4.53,0.0418,1.1055,2.7119267568735338e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.0424",Cu,4.53,0.0424,1.1056,2.7115805896155728e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.043",Cu,4.53,0.043,1.1057,2.7112296802640845e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.0436",Cu,4.53,0.0436,1.1059,2.710873965122364e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.0442",Cu,4.53,0.0442,1.106,2.7105133796733277e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.0448",Cu,4.53,0.0448,1.1062,2.7101478585699206e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.0454",Cu,4.53,0.0454,1.1063,2.709777335625459e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.0461",Cu,4.53,0.0461,1.1065,2.709401743803879e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.0467",Cu,4.53,0.0467,1.1066,2.7090210152099037e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.0474",Cu,4.53,0.0474,1.1068,2.708635081079129e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.048",Cu,4.53,0.048,1.107,2.7082438717680256e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.0487",Cu,4.53,0.0487,1.1071,2.707847316743856e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.0494",Cu,4.53,0.0494,1.1073,2.7074453445745123e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.0501",Cu,4.53,0.0501,1.1075,2.70703788291827e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.0508",Cu,4.53,0.0508,1.1076,2.7066248585134602e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.0515",Cu,4.53,0.0515,1.1078,2.7062061971680598e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.0522",Cu,4.53,0.0522,1.108,2.7057818237492054e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.0529",Cu,4.53,0.0529,1.1081,2.7053516621726198e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.0537",Cu,4.53,0.0537,1.1083,2.7049156353919626e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.0544",Cu,4.53,0.0544,1.1085,2.704473665388103e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.0552",Cu,4.53,0.0552,1.1087,2.7040256731583155e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.0559",Cu,4.53,0.0559,1.1089,2.7035715787053853e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.0567",Cu,4.53,0.0567,1.1091,2.703111301026659e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.0575",Cu,4.53,0.0575,1.1093,2.7026447581029994e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.0583",Cu,4.53,0.0583,1.1095,2.702171866887672e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.0591",Cu,4.53,0.0591,1.1096,2.7016925432951613e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.06",Cu,4.53,0.06,1.1098,2.7012067021899098e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.0608",Cu,4.53,0.0608,1.11,2.7007142573749834e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.0616",Cu,4.53,0.0616,1.1103,2.7002151215806688e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.0625",Cu,4.53,0.0625,1.1105,2.699709206453001e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.0634",Cu,4.53,0.0634,1.1107,2.6991964225422186e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.0643",Cu,4.53,0.0643,1.1109,2.698676679291157e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.0652",Cu,4.53,0.0652,1.1111,2.6981498850235747e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.0661",Cu,4.53,0.0661,1.1113,2.6976159469324112e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.067",Cu,4.53,0.067,1.1115,2.697074771067983e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.0679",Cu,4.53,0.0679,1.1118,2.6965262623261267e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.0689",Cu,4.53,0.0689,1.112,2.6959703244362717e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.0698",Cu,4.53,0.0698,1.1122,2.6954068599494602e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.0708",Cu,4.53,0.0708,1.1125,2.6948357702263146e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.0718",Cu,4.53,0.0718,1.1127,2.6942569554249443e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.0728",Cu,4.53,0.0728,1.113,2.6936703144888067e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.0738",Cu,4.53,0.0738,1.1132,2.693075745134516e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.0748",Cu,4.53,0.0748,1.1134,2.692473143839606e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.0759",Cu,4.53,0.0759,1.1137,2.691862405830245e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.0769",Cu,4.53,0.0769,1.114,2.691243425068915e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.078",Cu,4.53,0.078,1.1142,2.6906160942420422e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.0791",Cu,4.53,0.0791,1.1145,2.689980304747598e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.0802",Cu,4.53,0.0802,1.1147,2.6893359466826605e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.0813",Cu,4.53,0.0813,1.115,2.6886829088309472e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.0825",Cu,4.53,0.0825,1.1153,2.688021078650319e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.0836",Cu,4.53,0.0836,1.1156,2.6873503422602563e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.0848",Cu,4.53,0.0848,1.1159,2.6866705844293178e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.086",Cu,4.53,0.086,1.1161,2.6859816885625725e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.0872",Cu,4.53,0.0872,1.1164,2.6852835366890262e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.0884",Cu,4.53,0.0884,1.1167,2.6845760094490285e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.0896",Cu,4.53,0.0896,1.117,2.683858986081674e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.0909",Cu,4.53,0.0909,1.1173,2.683132344412203e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.0921",Cu,4.53,0.0921,1.1176,2.682395960839394e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.0934",Cu,4.53,0.0934,1.1179,2.681649710322969e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.0947",Cu,4.53,0.0947,1.1183,2.6808934663710026e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.0961",Cu,4.53,0.0961,1.1186,2.6801271010273414e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.0974",Cu,4.53,0.0974,1.1189,2.6793504848590477e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.0988",Cu,4.53,0.0988,1.1192,2.6785634869438602e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.1001",Cu,4.53,0.1001,1.1196,2.6777659748576787e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.1015",Cu,4.53,0.1015,1.1199,2.6769578146620915e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.1029",Cu,4.53,0.1029,1.1202,2.6761388708919277e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.1044",Cu,4.53,0.1044,1.1206,2.6753090065428624e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.1058",Cu,4.53,0.1058,1.1209,2.6744680830590608e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.1073",Cu,4.53,0.1073,1.1213,2.673615960320887e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.1088",Cu,4.53,0.1088,1.1217,2.67275249663266e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.1103",Cu,4.53,0.1103,1.122,2.671877548710488e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
